"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"J2,J1,J3,J4";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";4;"Screw_Terminal_01x02";;;
2;"C8";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"8.2pF";;;
3;"C10";"CAP_10TPB220M";1;"220u";;;
4;"C1,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
5;"C3";"CP_Elec_5x5.9";1;"10u";;;
6;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
7;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10n";;;
8;"C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10u";;;
9;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"6.8pF";;;
10;"C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"220n";;;
11;"C12,C13";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"22uF";;;
12;"C14";"C_2220_5650Metric_Pad1.97x5.40mm_HandSolder";1;"4.7n";;;
13;"D1,D3";"D_SOD-123F";2;"B5819W";;;
14;"D2";"D_SOD-123F";1;"85819W";;;
15;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
16;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
17;"D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"YELLOW";;;
18;"F1";"Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"500mA";;;
19;"H1,H2,H3,H4";"MountingHole_4.3mm_M4_DIN965_Pad";4;"MountingHole_Pad";;;
20;"L1,L2";"L_6.3x6.3_H3";2;"10uF";;;
21;"L3";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"+47u";;;
22;"Q1,Q2";"SOT23";2;"Q_PMOS_GSD";;;
23;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
24;"R2,R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100k";;;
25;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1M";;;
26;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"110k";;;
27;"R8,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"12k";;;
28;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
29;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.3k";;;
30;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.5k";;;
31;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.3k";;;
32;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.1k";;;
33;"U1";"TI_SO-PowerPAD-8_ThermalVias";1;"TPS5430DDA";;;
34;"IC1";"QFN50P400X400X100-25N-D";1;"TPS65131RGET";;;
35;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
